id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20151205t043538_20151205t043603_008902_00cbc1_002@scaled|2015-12-05 04:35:38|2015-12-05 04:35:39|-14.1006243303609|-34.3929033565757|3.29678737245711|14.1006448261845|2.07856580014366|4.32043578552685|-14.7409487086907|-14772180.6647187|11046384|12094010|1047626
db_s1a_iw_grd_vh_20151208t161044_20151208t161109_008953_00cd36_002@scaled|2015-12-08 16:10:44|2015-12-08 16:10:45|-14.9608434386143|-44.7641804475404|-1.20571816845104|14.9608434386143|2.17948807757565|4.7501682802944|-14.5679492370754|-15673338.6465348|11046386|12094010|1047624
db_s1a_iw_grd_vh_20151222t044352_20151222t044417_009150_00d2a8_002@scaled|2015-12-22 04:43:52|2015-12-22 04:43:53|-13.667775390761|-38.9063769944519|5.691760751111|13.667864173383|2.09741442813023|4.39914728332887|-15.3456899031866|-14318689.5259706|11046386|12094010|1047624
db_s1a_iw_grd_vh_20160103t044352_20160103t044417_009325_00d7a6_002@scaled|2016-01-03 04:43:52|2016-01-03 04:43:53|-18.0105521630408|-70.9191535653604|6.8388580786915|18.0107187790805|2.44882883764949|5.99676267610376|-13.5966338815236|-18865675.1691898|11046531|12094010|1047479
db_s1a_iw_grd_vh_20160106t161903_20160106t161928_009376_00d91a_002@scaled|2016-01-06 16:19:03|2016-01-06 16:19:04|-18.9568476717204|-88.1779376280864|-3.83933145503142|18.9568476717204|3.15016633303269|9.92354792577265|-16.6175642046862|-6050722.46725041|11774826|12094010|319184
db_s1a_iw_grd_vh_20160113t161042_20160113t161107_009478_00dc02_002@scaled|2016-01-13 16:10:42|2016-01-13 16:10:43|-14.6063475959038|-42.1099222115059|-2.41336800621673|14.6063475959038|2.27491655279507|5.17524532218099|-15.5748487967865|-15301989.5065063|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160115t044326_20160115t044351_009500_00dca6_002@scaled|2016-01-15 04:43:26|2016-01-15 04:43:27|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20160115t044351_20160115t044416_009500_00dca6_002@scaled|2016-01-15 04:43:51|2016-01-15 04:43:52|-16.2430455275238|-40.136421335221|19.0891289164488|16.2443708487843|2.41492197819501|5.8318481607693|-14.867421100944|-17016636.8138177|11046384|12094010|1047626
db_s1a_iw_grd_vh_20160118t161903_20160118t161928_009551_00de1b_002@scaled|2016-01-18 16:19:03|2016-01-18 16:19:04|-18.250831451041|-92.3748605005873|-4.39264952298877|18.250831451041|2.92705482496149|8.56764994833033|-16.0379259038882|-5605523.87020985|11786872|12094010|307138
db_s1a_iw_grd_vh_20160122t043536_20160122t043601_009602_00dfa7_002@scaled|2016-01-22 04:35:36|2016-01-22 04:35:37|-17.7069696623216|-45.9466896581035|-2.02240921873991|17.7069696623216|2.13316254701073|4.55038245196932|-12.0470220918143|-18550228.6785504|11046387|12094010|1047623
